4862.4,1093.8,5216,886.23,5569.6,678.68
4867.4,1102.4,5223.1,898.42,5578.7,694.42
4872.4,1111.1,5230,910.69,5587.7,710.25
4877.2,1119.9,5236.9,923.02,5596.5,726.17
4882,1128.7,5243.6,935.43,5605.2,742.18
4886.6,1137.5,5250.1,947.9,5613.7,758.28
4891.2,1146.4,5256.6,960.43,5622,774.46
4895.7,1155.3,5262.9,973.03,5630.2,790.72
4900.1,1164.3,5269.1,985.69,5638.2,807.06
4904.4,1173.3,5275.2,998.41,5646,823.48
4908.6,1182.4,5281.2,1011.2,5653.7,839.98
4912.8,1191.5,5287,1024,5661.2,856.55
4916.8,1200.7,5292.7,1036.9,5668.6,873.2
4920.8,1209.8,5298.3,1049.9,5675.8,889.92
4924.6,1219.1,5303.7,1062.9,5682.8,906.72
4928.4,1228.3,5309,1076,5689.6,923.58
4932,1237.6,5314.2,1089.1,5696.3,940.51
4935.6,1247,5319.2,1102.2,5702.8,957.5
4939.1,1256.4,5324.1,1115.5,5709.2,974.56
4942.5,1265.8,5328.9,1128.7,5715.3,991.69
4945.8,1275.2,5333.6,1142,5721.3,1008.9
4949,1284.7,5338.1,1155.4,5727.2,1026.1
4952.1,1294.2,5342.4,1168.8,5732.8,1043.4
4955.1,1303.7,5346.7,1182.2,5738.3,1060.8
4958,1313.3,5350.8,1195.7,5743.6,1078.2
4960.8,1322.9,5354.8,1209.3,5748.7,1095.6
4963.6,1332.5,5358.6,1222.8,5753.7,1113.2
4966.2,1342.1,5362.3,1236.4,5758.5,1130.7
4968.7,1351.8,5365.9,1250.1,5763.1,1148.3
4971.1,1361.5,5369.3,1263.7,5767.5,1166
4973.5,1371.2,5372.6,1277.5,5771.7,1183.7
4975.7,1381,5375.8,1291.2,5775.8,1201.4
4977.9,1390.8,5378.8,1305,5779.7,1219.2
4979.9,1400.6,5381.7,1318.8,5783.4,1237
4981.9,1410.4,5384.4,1332.6,5787,1254.9
4983.7,1420.2,5387,1346.5,5790.3,1272.7
4985.4,1430,5389.5,1360.3,5793.5,1290.7
4987.1,1439.9,5391.8,1374.3,5796.5,1308.6
4988.7,1449.8,5394,1388.2,5799.3,1326.6
4990.1,1459.7,5396,1402.1,5802,1344.6
4991.5,1469.6,5398,1416.1,5804.5,1362.6
